"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @wmlandau: New #rstats blog post on memoization: https://t.co/GiqjxGsJXF. Thanks again to @hadleywickham, @jimhester_, @krlmlr + others…",FALSE,0,NA,2017-08-06 14:37:17,FALSE,NA,"894205745041985537",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dogvile",4,TRUE,FALSE,NA,NA
"RT @dataandme: �� useful cheat sheet: ""Basic Regular Expressions in R"" by Ian Kopacka https://t.co/q2AlmRjOnp #RegEx #rstats #SoDS17 https:/…",FALSE,0,NA,2017-08-06 14:36:57,FALSE,NA,"894205658551267329",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rgonzalezgil",112,TRUE,FALSE,NA,NA
"RT @bhaskar_vk: My #docker image for #geospatial #dataviz using #rstats has a new version with latest packages. https://t.co/K5uw87160Z",FALSE,0,NA,2017-08-06 14:36:20,FALSE,NA,"894205506272858112",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","recalculator",8,TRUE,FALSE,NA,NA
"RT @R_Programming: R Tip: How to join multiple dataframes in one go using dplyr. #rstats #DataScience https://t.co/jHVyMbTDGb",FALSE,0,NA,2017-08-06 14:35:54,FALSE,NA,"894205396138680321",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hrstrategy",41,TRUE,FALSE,NA,NA
"RT @R_Programming: R Tip: How to join multiple dataframes in one go using dplyr. #rstats #DataScience https://t.co/jHVyMbTDGb",FALSE,0,NA,2017-08-06 14:34:02,FALSE,NA,"894204924422225921",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eFe_Gil",41,TRUE,FALSE,NA,NA
"RT @wmlandau: New #rstats blog post on memoization: https://t.co/GiqjxGsJXF. Thanks again to @hadleywickham, @jimhester_, @krlmlr + others…",FALSE,0,NA,2017-08-06 14:32:10,FALSE,NA,"894204456266608644",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","timelyportfolio",4,TRUE,FALSE,NA,NA
"RT @InstitCalculo: ¿Estás aprovechando el domingo para buscar #cursos de #DataScience con #rstats? ¡No busques más! En el #IC este cuatrime…",FALSE,0,NA,2017-08-06 14:25:33,FALSE,NA,"894202790540607490",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RLadiesBA",7,TRUE,FALSE,NA,NA
"RT @jepusto: Possibly most useful #rstats cheat sheet ever. https://t.co/KWw5Nau8Vc",FALSE,0,NA,2017-08-06 14:23:55,FALSE,NA,"894202378123169792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kernelyun",13,TRUE,FALSE,NA,NA
"RT @InstitCalculo: ¿Estás aprovechando el domingo para buscar #cursos de #DataScience con #rstats? ¡No busques más! En el #IC este cuatrime…",FALSE,0,NA,2017-08-06 14:22:59,FALSE,NA,"894202145616138242",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jadekin",7,TRUE,FALSE,NA,NA
"RT @InstitCalculo: ¿Estás aprovechando el domingo para buscar #cursos de #DataScience con #rstats? ¡No busques más! En el #IC este cuatrime…",FALSE,0,NA,2017-08-06 14:22:53,FALSE,NA,"894202119762456576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wsosaescudero",7,TRUE,FALSE,NA,NA
"RT @R_Programming: R Tip: How to join multiple dataframes in one go using dplyr. #rstats #DataScience https://t.co/jHVyMbTDGb",FALSE,0,NA,2017-08-06 14:22:39,FALSE,NA,"894202059267989504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tecoscr",41,TRUE,FALSE,NA,NA
